Year1,Year,Date,,Version,RELEASE,Changes,By,,Type,General,General Category
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #702: Support more return types for the @Parameters method of the Parameterized runner,,Parameterized Tests,Support more return types for the @Parameters method of the Parameterized runner,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #773: Allow configurable creation of child runners of parameterized suites,,Parameterized Tests,Allow configurable creation of child runners of parameterized suites,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #552: Pull request #937: Stopwatch rule,,Rules,,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #932: Allow static @Rules also annotated with @ClassRule,,Rules,Allow members annotated with both @ClassRule and @Rule to be static,Change implementation,Code redesign
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #956: DisableOnDebug rule,,Rules,,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #974: Updated TemporaryFolder.newFolder() to give an error message if a path contains a slash.,,Rules,,Fix exception message,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #1015: Methods annotated with Rule can return a MethodRule.,,Rules,,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #1020: Added validation that @ClassRule should only be implementation of TestRule.,,Rules,Fix test outcome,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #1021: JavaDoc of TemporaryFolder: folder not guaranteed to be deleted.,,Rules,,Update documentation,Documentation
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #529: @DataPoints-annotated methods can now yield null values,,Theories,,Fix inconsistency,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #572: Ensuring no-generic-type-parms validator called/tested for theories,,Theories,,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #607: Improving theory failure messages,,Theories,Improve exception message ,Code refactoring,Maintainability improvement
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #601: Allow use of Assume in tests run by Theories runner,,Theories,Fix test outcome,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #623: Ensure data points array fields and methods are public and static in Theory classes.,,Theories,Fix test outcome,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,"Pull request #621: Added mechanism for matching specific data points in theories to specific parameters, by naming data points.",,Theories,"Added mechanism for matching specific data points in theories to specific parameters, by naming data points.",Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #654: Auto-generation of enum and boolean data points,,Theories,Auto-generation of enum and boolean data points,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #651: Improvements to Theory parameter and DataPoint type matching,,Theories,,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,-,,Theories,correctly handles boxing and unboxing for primitive and wrapper types,Fix wrong implementation,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #639: Failing theory datapoint methods now cause theory test failures,,Theories,This is a non-backward-compatible change,Fix wrong implementation,Bug fix
