Year,Date,,Version,Release,Changes,By,,Type,General,General Category,,
2021,26/02/2021,3.12.,3.12.0,MINOR,-,,,“Inline” refactoring,Code refactoring,Maintainability improvement,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Minor Improvement: Add final variable.try to make the code read-only #700. Thanks to Arturo Bernal.,ggregory,,Add final modifer to make the code read-only,Change access modifier,Code redesign,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Minor Improvement: Remove redundant initializer #699. Thanks to Arturo Bernal.,ggregory,,Remove redundant initializer,Code refinement,Performance improvement,Perfective,
2021,26/02/2021,3.12.,3.12.0,MINOR,Use own validator ObjectUtils.anyNull to check null String input #718. Thanks to Arturo Bernal.,ggregory,,Change implementation,Code refactoring,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,,,,,,,,
2020,12/07/2020,3.11.,3.11,MINOR,Refine test output for FastDateParserTest Thanks to Jin Xu.,chtompki,Test,Refine output ,Code refinement,Performance improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,CharSequenceUtils.lastIndexOf : remake it. Fixes LANG-1549. Thanks to Jin Xu.,chtompki,,,Code refactoring,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,remove encoding and docEncoding and use inherited values from commons-parent Thanks to XenoAmess.,kinow,,Change implementation,Code refactoring,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,Fix Javadoc for StringUtils.appendIfMissingIgnoreCase() #507. Thanks to contextshuffling.,kinow,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2020,12/07/2020,3.11.,3.11,MINOR,"Simplify null checks in Pair.hashCode() using Objects.hashCode(). #517. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",ggregory,,Simplify null check ,Code simplification,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,"Simplify null checks in Triple.hashCode() using Objects.hashCode(). #516. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",ggregory,,Simplify null check ,Code simplification,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,"Simplify some if statements in StringUtils. #521. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",ggregory,,Simplify if check ,Code simplification,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,"Simplify a null check in the private replaceEach() method of StringUtils. #514. Fixes LANG-1537. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",ggregory,,Simplify null check ,Code simplification,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,"Replace some usages of the ternary operator with calls to Math.max() and Math.min() #512. Fixes LANG-1534. Thanks to Isira Seneviratne, Bruno P. Kinoshita.",ggregory,,Use methods instead of ternary operations,Code simplification,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,"(Javadoc) Fix return tag for throwableOf*() methods #518. Thanks to Arend v. Reinersdorff, Bruno P. Kinoshita.",ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2020,12/07/2020,3.11.,3.11,MINOR,"Add ArrayUtils.isSameLength() to compare more array types #430. Thanks to XenoAmess, Gary Gregory.",ggregory,,,Add method,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,"CharSequenceUtils.regionMatches is wrong dealing with Georgian. Fixes LANG-1545. Thanks to XenoAmess, Gary Gregory.",ggregory,,,Fix wrong implementation,Bug fix,Corrective,
2020,12/07/2020,3.11.,3.11,MINOR,Added the Locks class as a convenient possibility to deal with locked objects.,jochen,,Added the Locks class as a convenient possibility to deal with locked objects,Add class,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,"Add to Functions: FailableBooleanSupplier, FailableIntSupplier, FailableLongSupplier, FailableDoubleSupplier, and so on. Fixes LANG-1568.",ggregory,,,Add class,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,"Add ArrayUtils.get(T[], index, T) to provide an out-of-bounds default value. Fixes LANG-1569.",ggregory,,,Add method,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,Optimize ArrayUtils::isArrayIndexValid method. #551. Fixes LANG-1550. Thanks to Edgar Asatryan.,ggregory,,Optimize method,Code refinement,Performance improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,-,,,“Inline” refactoring,Code refactoring,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,Use List.sort instead of Collection.sort #546. Fixes LANG-1561. Thanks to XenoAmess.,ggregory,,Adapt to newer Java version,Code refactoring,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,Use StandardCharsets.UTF_8 #548. Fixes LANG-1563. Thanks to XenoAmess.,ggregory,,"Use constant instead of ""magic"" string",Code refactoring,Maintainability improvement,,
