Year1;Year;Date; ;Version;RELEASE;Changes;By; ;Type;General;General Category;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Update FileWriterWithEncoding to extend ProxyWriter #296. Fixes IO-756. Thanks to wodencafe, Gary Gregory, Bruno P. Kinoshita.;ggregory;;;Change access modifier;Code redesign;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Initialize the message of an IOExceptionList to a default if null. Thanks to Gary Gregory.;ggregory;;Change default value;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;When deleting symlinks, File/PathUtils.deleteDirectory() changes file permissions of the target. Fixes IO-751. Thanks to Gary Gregory, Richard Cyganiak.;ggregory;;changes file permissions of the target;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;ReaderInputStream maps null Charset, Charset name, and CharsetEncoder to the platform default instead of throwing a NullPointerException. Thanks to Gary Gregory.;ggregory;;Throw NPE when needed;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;CharSequenceInputStream maps null Charset and Charset name to the platform default instead of throwing a NullPointerException. Thanks to Gary Gregory.;ggregory;;Throw NPE when needed;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;WriterOutputStream maps null Charset, Charset name, and CharsetEncoder name to the platform default instead of throwing a NullPointerException. Thanks to Gary Gregory.;ggregory;;Throw NPE when needed;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileUtils.copyURLToFile should create target parent directories and overwrite target file #319. Thanks to Chad Wilson, Gary Gregory.;ggregory;;Broken contract on copyURLToFile in the Javadoc;Fix regression;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix incorrect FilenameUtils Javadoc for null bytes #310. Fixes IO-484. Thanks to Marcono1234, Gary Gregory.;ggregory;;Fix JavaDoc;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Change to uppercase variable constant. #323. Fixes IO-484. Thanks to Arturo Bernal.;ggregory;;handle embedded null bytes;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;IOCase.isCaseSensitive(IOCase) result is backward #325. Fixes IO-484. Thanks to David Huang, Gary Gregory.;ggregory;;result is backward;Fix returning wrong output;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Deprecate PathUtils.NOFOLLOW_LINK_OPTION_ARRAY in favor of noFollowLinkOptionArray(). Fixes IO-758. Thanks to Marcono1234, Gary Gregory.;ggregory;;;Deprecate constant;Deprecate functionality;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Improve ReaderInputStream documentation #291. Thanks to Marcono1234, Gary Gregory.;ggregory;;Improve JavaDoc;Improve documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix misleading comments in FileFilterTest #334. Thanks to richarda23.;ggregory;;Fix misleading comments;Code refactoring;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add missing Javadoc for exceptions thrown for invalid arguments #339. Thanks to Diego Marcilio.;ggregory;;Fix JavaDoc;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileFilterTest minor fixes #340. Thanks to richarda23.;ggregory;;Fixes a duplicated test line in testAnd with remaining boolean combination;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;eplaces several Junit4-style tests for exceptions with cleaner junit5 assertThrows() syntax;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;IOUtils.write() throws OutOfMemoryError/NegativeArraySizeException while writing big strings #343. Fixes IO-764. Thanks to DaGeRe, Gary Gregory.;ggregory;;OutOfMemoryError;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;NegativeArraySizeException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add reserved Windows file names CONIN$ and CONOUT$ to FileSystem #355. Fixes IO-768. Thanks to Marcono1234, Michael Osipov.;ggregory;;Add reserved Windows file names CONIN$ and CONOUT$ to FileSystem;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;RegexFileFilter is no longer Serializable. Fixes IO-773. Thanks to Dominik Reinarz, Gary Gregory.;ggregory;;RegexFileFilter cannot be serialized;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;[Javadoc] FileFilterUtils doc does not match impl: missing some file filters. Fixes IO-763. Thanks to Richard Adams, Gary Gregory.;ggregory;;JavaDoc does not match implementation ;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileSystem.WINDOWS.isReservedFileName doesn't check for file extension. Fixes IO-762. Thanks to Leonidas Chiron, Gary Gregory.;ggregory;;isReservedFileName doesn't check for file extension;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Confusing Javadoc on IOUtils#resourceToURL() and other resource* methods. Fixes IO-772. Thanks to Dan Ziemba, Gary Gregory.;ggregory;;Confusing Javadoc;Clarify documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;"FileUtils.copyFile methods throw an unnecessary ""Failed to copy full contents from"" exception. Fixes IO-443. Thanks to Dan Ziemba, Gary Gregory.";ggregory;;"Failed to copy full contents from"" exception";Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Pick up Javadoc from super for override write() methods in AbstractByteArrayOutputStream and ByteArrayOutputStream. Fixes IO-564. Thanks to Hao Zhong, Bernd Eckenfels, Pascal Schumacher, Gary Gregory.;ggregory;;;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix minor typos #367. Thanks to Marc Wrobel.;ggregory;;Fix typos;Stylistic improvement;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix parameters to requireNonNull call in DeferredOutputSteam #368. Fixes IO-776. Thanks to Chris Povirk.;kinow;;DeferredFileOutputStream uses wrong order of parameters in Object.requireNonNull;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
